;E;$2C_3(z)$;$3C''_2$;$σ_h(xy)$;$2S_3$;$3σ_v$;h;= 12
D3h;1;2;3;1;2;3;;
A'1;1;1;1;1;1;1;-;$x^2+y^2$, $z^2$
A'2;1;1;-1;1;1;-1;$R_z$;-
E';2;-1;0;2;-1;0;(x, y);($x^2-y^2$, xy)
A''1;1;1;1;-1;-1;-1;-;-
A''2;1;1;-1;-1;-1;1;z;-
E'';2;-1;0;-2;1;0;(R_x$, $R_y$);(xz, yz)
