;E;$2C_8$;$2C_4$;$2(C_8)^3$;$C_2$;$4σ_v$;$4σ_d$;h;= 16
C8v;1;2.0;2;2.0;1;4;4;;
A1;1;1.0;1;1.0;1;1;1;z;$x^2+y^2$, $z^2$
A2;1;1.0;1;1.0;1;-1;-1;$R_z$;-
B1;1;-1.0;1;-1.0;1;1;-1;-;-
B2;1;-1.0;1;-1.0;1;-1;1;-;-
E1;2;1.4142135623730951;0;-1.4142135623730951;-2;0;0;(x, y), ($R_x$, $R_y$);(xy, yz)
E2;2;0.0;-2;0.0;2;0;0;-;($x^2-y^2$, xy)
E3;2;-1.4142135623730951;0;1.4142135623730951;-2;0;0;-;-
